feature,importance_mean,importance_std
crop_type,3.3652067943280697,0.046054394676333314
irrigation_mm,1.632929096832406,0.050423759353089743
light_intensity_lux,0.3228785985695516,0.008176872163990424
fertilizer_N_kg_ha,0.16698457426185484,0.00775702771415374
pest_severity,0.15579109936718433,0.006199564100170258
days_to_maturity,0.07352329609745727,0.008830917877833203
avg_temperature_C,0.03524819588175383,0.006023106796335979
photoperiod_hours,0.012682689744474906,0.0024665036419266742
min_temperature_C,0.0076641814295499875,0.0014636906726804317
max_temperature_C,0.006170125840215412,0.002539338234733872
humidity_percent,0.0014595890838822179,0.0005213431502197305
soil_pH,0.0013594884173061318,0.0008585373970280022
fertilizer_P_kg_ha,0.0008338085731693035,0.0002068306853312818
fertilizer_was_missing,0.0,0.0
env_was_missing,0.0,0.0
fertilizer_K_kg_ha,-5.652422008264324e-05,0.0008418467953947638
variety,-0.0005066507951018373,0.000732252687115711
co2_ppm,-0.0009566024935749873,0.0006801782131143163
